Time (UNIX Epoch),Is Radio On,TX Gain,Duration (s),Bandwidth,Sample Rate,Center Frequency,Low Frequency,High Frequency
1757430200.581553,0,0,52.582,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430253.580482,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430313.581014,0,0,32.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430345.581332,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430405.581379,0,0,32.943,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430438.581343,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430498.581377,0,0,59.19,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430557.581165,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430617.580937,0,0,59.146,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430676.581031,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430736.581591,0,0,32.539,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430769.581335,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430829.580998,0,0,54.01,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430883.581347,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757430943.581370,0,0,59.983,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431003.581562,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431063.581659,0,0,44.748,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431108.581856,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431168.581243,0,0,59.908,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431228.581167,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431288.581598,0,0,37.574,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431326.581872,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431386.581378,0,0,56.055,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431442.581457,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431502.580997,0,0,47.445,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431549.581194,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431609.581883,0,0,34.563,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431644.580864,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431704.580955,0,0,48.039,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431752.580833,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431812.581581,0,0,56.807,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431869.580818,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431929.580992,0,0,33.002,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757431962.581392,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432022.581538,0,0,50.043,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432072.581258,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432132.581236,0,0,54.441,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432186.581272,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432246.581236,0,0,35.933,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432282.581331,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432342.581560,0,0,43.48,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432385.581594,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432445.581838,0,0,59.237,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432504.581677,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432564.580928,0,0,31.457,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432595.580805,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432655.581272,0,0,44.96,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432700.581203,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432760.581046,0,0,50.598,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432811.581432,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432871.581341,0,0,48.257,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757432919.580759,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
