Time (UNIX ms),Is Jamming,Jammer TX Gain,Reporting Time Offset (ms),UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP.Mean (dBm),RSRP.Minimum (dBm),RSRP.Quartile1 (dBm),RSRP.Median (dBm),RSRP.Quartile3 (dBm),RSRP.Maximum (dBm),RSRP.Count,PHY.NPrbDl,PHY.DerivedRssiDl (dBm),PHY.DerivedRsrqDl (dB),PUSCH.Snr (dB),PUCCH.Snr (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,DRB.DerivedCQIDl,PHY.CqiWb1TbDl,PHY.CqiWb2TbDl,
1754584110800,1,52,0,39,0,0,0.00,11.52,0.00,237,406,,,,,,,0,11,,0.00,35.50,10.00,0,0,0.10,0.09,0.83,0.04,0.00,0.02,0,0,0,
1754584111800,1,52,0,39,0,0,0.00,0.45,0.94,72,1373,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,3,5,-46.22,6.92,37.00,31.00,0,0,0.21,0.37,0.90,0.07,0.00,0.03,0,0,0,
1754584112800,1,52,0,39,0,0,0.00,1.68,0.95,298,1904,,,,,,,0,94,,0.00,6.50,32.00,0,0,0.35,0.27,0.91,0.07,0.00,0.03,0,0,0,
1754584113800,1,52,0,39,1,1,0.00,14.47,1.54,660,2017,,,,,,,0,5,,0.00,37.00,29.00,0,0,0.15,0.12,0.89,0.06,0.00,0.02,0,0,0,
1754584114800,1,52,0,39,0,0,0.00,1.44,0.21,222,1280,,,,,,,0,21,,0.00,31.00,33.00,0,0,0.24,0.10,0.91,0.06,0.00,0.02,0,0,0,
1754584115800,1,52,0,39,0,0,0.00,0.02,0.20,109,3135,,,,,,,0,5,,0.00,38.00,35.00,0,0,0.50,0.08,0.96,0.06,0.00,0.02,0,0,0,
1754584116800,1,52,0,39,0,0,0.00,0.31,0.21,47,50,,,,,,,0,5,,0.00,37.50,33.00,0,0,0.21,0.05,0.96,0.06,0.00,0.02,0,0,0,
1754584117800,1,52,0,39,1,1,0.00,8.93,1.48,410,1300,,,,,,,0,5,,0.00,39.00,32.00,0,5,0.18,0.02,0.95,0.06,0.00,0.02,4,0,0,
1754584118800,1,52,0,39,0,0,0.00,5.04,0.00,133,4383,,,,,,,0,106,,0.00,5.00,33.00,0,0,0.52,0.01,1.03,0.06,0.00,0.02,0,0,0,
1754584119800,1,52,0,39,0,0,0.00,15.12,0.00,583,50,,,,,,,0,5,,0.00,38.00,33.00,0,0,0.22,0.05,1.03,0.06,0.00,0.02,0,0,0,
1754584120800,1,52,0,39,0,0,0.00,14.22,0.19,505,50,,,,,,,0,5,,0.00,33.00,35.00,0,0,0.08,0.02,1.03,0.06,0.00,0.02,0,0,0,
1754584121800,1,52,0,39,5,3,0.00,8.37,14.09,507,1924,,,,,,,0,5,,0.00,42.50,36.00,0,0,0.09,0.01,1.00,0.06,0.00,0.02,0,0,0,
1754584122800,1,52,0,39,0,0,0.00,0.02,0.68,15,50,,,,,,,0,5,,0.00,38.00,36.00,0,0,0.03,0.01,1.00,0.06,0.00,0.02,0,0,0,
1754584123800,1,52,0,39,1,1,399979.00,1.55,1.91,264,1904,,,,,,,0,94,,0.00,6.00,35.00,0,0,0.21,0.06,1.01,0.06,0.00,0.02,0,0,0,
1754584124800,0,0,0,39,0,0,0.00,0.76,0.02,482,1313,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,1,5,-46.22,6.92,38.50,35.00,0,0,0.18,0.03,1.01,0.06,0.00,0.02,0,0,0,
1754584125800,0,0,0,39,0,0,0.00,0.07,0.31,33,50,,,,,,,0,5,,0.00,38.50,35.00,0,0,0.06,0.02,1.01,0.06,0.00,0.02,0,0,0,
1754584126800,0,0,0,39,1,1,0.00,2.95,1.35,201,781,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,10,5,-46.22,6.92,39.00,35.00,0,0,0.02,0.01,1.00,0.05,0.00,0.02,0,0,0,
1754584127800,0,0,0,39,0,0,0.00,2.18,0.89,81,796,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,33.00,0,0,0.01,0.01,0.98,0.05,0.00,0.02,0,0,0,
1754584128800,0,0,0,39,0,0,0.00,0.74,0.82,75,466,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,38.00,34.00,0,0,0.00,0.01,0.97,0.05,0.00,0.02,0,0,0,
1754584129800,0,0,0,39,0,0,0.00,2.18,0.76,90,789,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,33.00,0,1,0.00,0.01,0.95,0.05,0.00,0.02,1,0,0,
1754584130800,0,0,0,39,0,0,0.00,0.74,0.86,75,471,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,38.50,33.00,0,0,0.00,0.00,0.94,0.05,0.00,0.02,0,0,0,
1754584131800,0,0,0,39,0,0,0.00,2.18,0.75,90,804,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,38.50,31.00,0,1,0.00,0.00,0.93,0.05,0.00,0.02,1,0,0,
1754584132800,0,0,0,39,0,0,0.00,0.74,0.85,35,456,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,39.00,35.00,0,0,0.00,0.00,0.92,0.05,0.00,0.02,0,0,0,
1754584133800,0,0,0,39,1,1,0.00,1.46,1.48,60,411,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,38.50,32.00,0,0,0.00,0.00,0.91,0.05,0.00,0.02,0,0,0,
1754584134800,0,0,0,39,0,0,0.00,0.74,0.78,40,699,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,40.00,32.00,0,0,0.00,0.00,0.90,0.05,0.00,0.02,0,0,0,
1754584135800,0,0,0,39,0,0,0.00,0.74,0.78,40,716,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,33.00,0,0,0.00,0.00,0.89,0.05,0.00,0.02,0,0,0,
1754584136800,0,0,0,39,0,0,0.00,0.74,0.74,75,396,-64.15,-65.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.37,6.92,60.00,33.00,0,0,0.00,0.00,0.88,0.05,0.00,0.02,0,0,0,
1754584137800,0,0,0,39,0,0,0.00,0.74,0.78,40,709,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,38.50,32.00,0,0,0.00,0.00,0.87,0.05,0.00,0.02,0,0,0,
1754584138800,0,0,0,39,0,0,0.00,0.74,0.82,40,709,-64.31,-65.00,-65.00,-64.00,-64.00,-64.00,13,5,-46.53,6.91,38.50,30.00,0,0,0.00,0.00,0.86,0.05,0.00,0.02,0,0,0,
1754584139800,0,0,0,39,0,0,0.00,0.74,0.78,40,709,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,60.00,32.00,0,0,0.00,0.00,0.85,0.05,0.00,0.02,0,0,0,
1754584140800,0,0,0,39,0,0,0.00,2.18,0.78,90,741,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,39.50,32.00,0,1,0.00,0.00,0.84,0.05,0.00,0.02,1,0,0,
1754584141800,0,0,0,39,0,0,0.00,0.74,0.78,75,426,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,40.00,34.00,0,0,0.00,0.00,0.83,0.05,0.00,0.02,0,0,0,
1754584142800,0,0,0,39,0,0,0.00,0.74,0.78,75,421,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,60.50,34.00,1,0,0.00,0.00,0.82,0.05,0.00,0.02,0,0,0,
1754584143800,0,0,0,39,0,0,0.00,0.74,0.82,40,714,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,33.00,0,0,0.00,0.00,0.81,0.05,0.00,0.02,0,0,0,
1754584144800,0,0,0,39,0,0,0.00,0.74,0.78,40,719,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,39.00,30.00,0,0,0.00,0.00,0.80,0.05,0.00,0.02,0,0,0,
1754584145800,0,0,0,39,0,0,0.00,2.18,0.82,90,741,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.50,30.00,0,1,0.00,0.00,0.79,0.05,0.00,0.02,1,0,0,
1754584146800,0,0,0,39,0,0,0.00,2.18,0.82,90,744,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,60.50,33.00,0,1,0.00,0.00,0.78,0.05,0.00,0.02,1,0,0,
1754584147800,0,0,0,39,0,0,0.00,2.18,0.82,90,739,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,31.00,0,1,0.00,0.00,0.77,0.05,0.00,0.02,1,0,0,
1754584148800,0,0,0,39,0,0,0.00,0.74,0.82,40,724,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,38.50,31.00,0,0,0.00,0.00,0.76,0.05,0.00,0.02,0,0,0,
1754584149800,0,0,0,39,0,0,0.00,0.74,0.78,40,729,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,60.00,33.00,0,0,0.00,0.00,0.75,0.05,0.00,0.02,0,0,0,
1754584150800,0,0,0,39,0,0,0.00,2.18,0.82,90,751,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,39.00,35.00,0,1,0.00,0.00,0.74,0.05,0.00,0.02,1,0,0,
1754584151800,0,0,0,39,0,0,0.00,2.18,0.82,90,754,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,35.00,0,1,0.00,0.00,0.74,0.05,0.00,0.02,1,0,0,
1754584152800,0,0,0,39,0,0,0.00,2.18,0.82,90,749,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,60.00,33.00,0,1,0.00,0.00,0.73,0.05,0.00,0.02,1,0,0,
1754584153800,0,0,0,39,0,0,0.00,0.74,0.82,40,734,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,40.00,30.00,1,0,0.00,0.00,0.72,0.05,0.00,0.02,0,0,0,
1754584154800,0,0,0,39,0,0,0.00,0.74,0.78,40,739,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,38.50,29.00,1,0,0.00,0.00,0.71,0.05,0.00,0.02,0,0,0,
1754584155800,0,0,0,39,0,0,0.00,2.18,0.82,90,761,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,37.50,32.00,0,1,0.00,0.00,0.70,0.05,0.00,0.02,1,0,0,
1754584156800,0,0,0,39,0,0,0.00,2.18,0.82,90,764,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,60.00,32.00,0,1,0.00,0.00,0.69,0.05,0.00,0.02,1,0,0,
1754584157800,0,0,0,39,0,0,0.00,2.18,0.82,90,759,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,33.00,1,1,0.00,0.00,0.69,0.05,0.00,0.02,1,0,0,
1754584158800,0,0,0,39,0,0,0.00,0.74,0.82,40,744,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,38.00,34.00,2,0,0.00,0.00,0.68,0.05,0.00,0.02,0,0,0,
1754584159800,0,0,0,39,0,0,0.00,0.74,0.78,40,749,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,59.50,34.00,2,0,0.00,0.00,0.67,0.05,0.00,0.01,0,0,0,
1754584160800,0,0,0,39,0,0,0.00,2.18,0.82,90,776,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,39.00,35.00,1,1,0.00,0.00,0.66,0.05,0.00,0.01,1,0,0,
1754584161800,0,0,0,39,0,0,0.00,2.18,0.82,90,774,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,39.00,35.00,1,1,0.00,0.00,0.66,0.05,0.00,0.01,1,0,0,
1754584162800,0,0,0,39,0,0,0.00,0.74,0.82,40,759,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,38.00,34.00,1,0,0.00,0.00,0.65,0.05,0.00,0.01,0,0,0,
1754584163800,0,0,0,39,0,0,34.00,0.74,0.82,31,759,-64.17,-65.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.39,6.92,39.00,36.00,1,1,0.00,0.00,0.64,0.05,0.00,0.01,1,0,0,
1754584164800,0,0,0,39,0,0,491.00,1.46,0.80,35,759,-64.15,-65.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.37,6.92,38.00,37.00,0,2,0.00,0.00,0.64,0.05,0.00,0.01,2,0,0,
1754584165800,0,0,0,39,0,0,149.00,2.18,0.82,39,786,-64.08,-65.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.30,6.92,41.00,37.00,0,3,0.00,0.00,0.63,0.05,0.00,0.01,3,0,0,
1754584166800,0,0,0,39,0,0,141.00,1.46,0.82,27,784,-64.15,-65.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.37,6.92,39.50,34.00,0,4,0.00,0.00,0.62,0.05,0.00,0.01,3,0,0,
1754584167800,0,0,0,39,0,0,72.00,2.18,0.82,30,769,-64.17,-65.00,-64.00,-64.00,-64.00,-64.00,12,106,-33.12,205.35,18.50,36.00,0,5,0.00,0.00,0.62,0.05,0.00,0.01,4,0,0,
1754584168800,0,0,0,39,0,0,0.00,0.00,0.13,5,145,-64.15,-65.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.37,6.92,37.50,36.00,0,6,0.00,0.00,0.61,0.05,0.00,0.01,4,0,0,
1754584169800,0,0,0,39,0,0,0.00,0.74,0.83,20,754,-64.33,-65.00,-65.00,-64.00,-64.00,-64.00,12,5,-46.55,6.91,38.00,38.00,0,7,0.00,0.00,0.61,0.05,0.00,0.01,5,0,0,
1754584170800,0,0,0,39,0,0,0.00,2.18,0.79,30,779,-64.31,-65.00,-65.00,-64.00,-64.00,-64.00,13,5,-46.53,6.91,39.00,37.00,0,7,0.00,0.00,0.60,0.05,0.00,0.01,5,0,0,
1754584171800,0,0,0,39,0,0,0.00,2.18,0.82,30,796,-64.33,-65.00,-65.00,-64.00,-64.00,-64.00,12,5,-46.55,6.91,38.50,37.00,0,7,0.00,0.00,0.60,0.05,0.00,0.01,5,0,0,
1754584172800,0,0,0,39,0,0,0.00,2.18,0.82,30,794,-64.31,-65.00,-65.00,-64.00,-64.00,-64.00,13,5,-46.53,6.91,39.00,35.00,0,7,0.00,0.00,0.59,0.05,0.00,0.01,5,0,0,
1754584173800,0,0,0,39,0,0,0.00,0.74,0.87,20,779,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,38.50,35.00,0,5,0.00,0.00,0.58,0.05,0.00,0.01,4,0,0,
1754584174800,0,0,0,39,0,0,0.00,0.74,1.17,20,779,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.22,6.92,38.50,33.00,0,3,0.00,0.00,0.58,0.05,0.00,0.01,3,0,0,
1754584175800,0,0,0,39,0,0,0.00,2.18,0.66,40,789,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,12,5,-46.22,6.92,40.00,31.00,0,3,0.00,0.00,0.57,0.05,0.00,0.01,3,0,0,
1754584176800,0,0,0,39,0,0,0.00,2.18,0.86,45,806,-64.08,-65.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.30,6.92,39.00,31.00,0,3,0.00,0.00,0.57,0.05,0.00,0.01,3,0,0,
1754584177800,0,0,0,39,0,0,0.00,2.18,0.86,45,804,-64.42,-65.00,-65.00,-64.00,-64.00,-64.00,12,5,-46.64,6.91,37.50,35.00,0,3,0.00,0.00,0.56,0.05,0.00,0.01,3,0,0,
1754584178800,0,0,0,39,0,0,0.00,0.74,0.75,25,789,-64.23,-65.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.45,6.91,38.50,36.00,0,1,0.00,0.00,0.56,0.05,0.00,0.01,1,0,0,
1754584179800,0,0,0,39,0,0,0.00,0.74,0.89,40,789,-64.42,-65.00,-65.00,-64.00,-64.00,-64.00,12,5,-46.64,6.91,38.00,37.00,0,0,0.00,0.00,0.55,0.05,0.00,0.01,0,0,0,
1754584180800,0,0,0,39,0,0,0.00,2.18,0.76,90,789,-64.46,-65.00,-65.00,-64.00,-64.00,-64.00,13,5,-46.68,6.90,39.50,35.00,0,1,0.00,0.00,0.55,0.04,0.00,0.01,1,0,0,
1754584181800,0,0,0,39,0,0,0.00,0.74,0.86,75,471,-65.00,-65.00,-65.00,-65.00,-65.00,-65.00,12,5,-47.22,6.88,39.00,36.00,0,0,0.00,0.00,0.54,0.04,0.00,0.01,0,0,0,
1754584182800,0,0,0,39,0,0,0.00,2.18,0.75,90,804,-64.77,-65.00,-65.00,-65.00,-65.00,-64.00,13,5,-46.99,6.89,39.00,39.00,0,1,0.00,0.00,0.54,0.04,0.00,0.01,1,0,0,
1754584183800,0,0,0,39,0,0,0.00,0.74,0.85,75,456,-64.83,-65.00,-65.00,-65.00,-65.00,-64.00,12,5,-47.05,6.89,39.50,38.00,0,0,0.00,0.00,0.53,0.04,0.00,0.01,0,0,0,
1754584184800,0,0,0,39,0,0,0.00,0.74,0.82,75,471,-64.77,-65.00,-65.00,-65.00,-65.00,-64.00,13,5,-46.99,6.89,38.50,39.00,0,0,0.00,0.00,0.53,0.04,0.00,0.01,0,0,0,
1754584185800,0,0,0,39,5,2,0.00,5.83,2.88,194,471,-64.67,-65.00,-65.00,-65.00,-64.00,-64.00,12,5,-46.89,6.90,39.00,39.00,0,1,0.00,0.00,0.53,0.04,0.00,0.01,1,0,0,
1754584186800,0,0,0,39,1,3,0.00,1.27,3.79,129,471,-64.85,-65.00,-65.00,-65.00,-65.00,-64.00,13,5,-47.06,6.89,38.50,35.00,0,1,0.00,0.00,0.53,0.04,0.00,0.01,1,0,0,
1754584187800,0,0,0,39,3,2,0.00,4.18,2.96,178,471,-64.83,-65.00,-65.00,-65.00,-65.00,-64.00,12,5,-47.05,6.89,39.50,36.00,0,1,0.00,0.00,0.52,0.04,0.00,0.01,1,0,0,
1754584188800,0,0,0,39,1,2,0.00,2.65,2.65,166,756,-64.46,-65.00,-65.00,-64.00,-64.00,-64.00,13,5,-46.68,6.90,38.50,35.00,0,0,0.00,0.00,0.52,0.04,0.00,0.01,0,0,0,
1754584189800,0,0,0,39,0,0,0.00,0.74,0.74,75,391,-64.33,-65.00,-65.00,-64.00,-64.00,-64.00,12,5,-46.55,6.91,40.00,35.00,0,0,0.00,0.00,0.52,0.04,0.00,0.01,0,0,0,
1754584190800,1,49,0,39,0,0,0.00,0.74,0.78,40,709,-64.15,-65.00,-64.00,-64.00,-64.00,-64.00,13,5,-46.37,6.92,37.00,33.00,0,0,0.00,0.00,0.51,0.04,0.00,0.01,0,0,0,
1754584191800,1,49,0,39,0,0,0.00,0.02,0.54,118,1340,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,2,106,-32.96,205.86,5.00,32.00,0,0,0.07,0.00,0.52,0.04,0.00,0.01,0,0,0,
1754584192800,1,49,0,39,1,1,0.00,10.95,1.05,511,1375,-64.12,-65.00,-64.00,-64.00,-64.00,-64.00,8,5,-46.34,6.92,38.50,31.00,0,1,0.13,0.00,0.52,0.04,0.00,0.01,1,0,0,
1754584193800,1,49,0,39,0,0,88.00,9.41,0.78,364,1370,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,1,106,-32.96,205.86,7.50,32.00,0,0,0.12,0.00,0.54,0.04,0.00,0.01,0,0,0,
1754584194800,1,49,0,39,0,0,161.00,10.13,0.78,438,1370,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,8,106,-32.96,205.86,5.00,28.00,0,0,0.24,0.00,0.55,0.04,0.00,0.01,0,0,0,
1754584195800,1,49,0,39,0,0,0.00,15.94,0.78,453,789,-64.00,-64.00,-64.00,-64.00,-64.00,-64.00,11,5,-46.22,6.92,37.50,30.00,0,0,0.12,0.00,0.55,0.04,0.00,0.01,0,0,0,
