Time (UNIX ms),Reporting Time Offset (ms),E2 Node ID,UE ID,DRB.PdcpSduVolumeDL (kb),DRB.PdcpSduVolumeUL (kb),DRB.RlcSduDelayDl (μs),DRB.UEThpDl (kbps),DRB.UEThpUl (kbps),RRU.PrbTotDl (PRBs),RRU.PrbTotUl (PRBs),RSRP.Mean (dBm),RSRP.Minimum (dBm),RSRP.Quartile1 (dBm),RSRP.Median (dBm),RSRP.Quartile3 (dBm),RSRP.Maximum (dBm),RSRP.Count,PHY.NPrbDl,PHY.DerivedRssiDl (dBm),PHY.DerivedRsrqDl (dB),PUSCH.Snr (dB),PUCCH.Snr (dB),DRB.HarqMcsUl,DRB.HarqMcsDl,DRB.HarqBlockErrorRateUl,DRB.HarqBlockErrorRateDl,DRB.MacSduRetransmissionRateUl,DRB.MacSduRetransmissionRateDl,DRB.MacSduErrorRateUl,DRB.MacSduErrorRateDl,DRB.DerivedCQIDl,PHY.CqiWb1TbDl,PHY.CqiWb2TbDl,
1763397723250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.04,0.00,0.00,0.00,0.00,0,0,0,
1763397724250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,24.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397725250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.50,24.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397726250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397727250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397728250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397729250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,24.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397730250,1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,22.50,24.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397731250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,26.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397732250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,26.00,0,0,0.00,0.03,0.00,0.00,0.00,0.00,0,0,0,
1763397733250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397734250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.50,25.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397735250,1,gNB,1,0,0,0.00,0.02,0.43,10,252,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397736250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397737250,-1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397738250,1,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,26.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397739250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,26.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397740250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,24.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397741250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,24.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397742250,1,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397743250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397744250,-1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.02,0.00,0.00,0.00,0.00,0,0,0,
1763397745250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397746250,1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397747250,-1,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397748250,1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397749250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,24.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397750250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,24.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397751250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,24.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397752250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,27.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397753250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,27.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397754250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397755250,-1,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397756250,1,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397757250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397758250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397759250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397760250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397761250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.00,24.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397762250,-1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,24.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397763250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,26.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397764250,1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,26.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397765250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,26.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397766250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.01,0.00,0.00,0.00,0.00,0,0,0,
1763397767250,0,gNB,1,0,0,0.00,0.02,0.43,5,247,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397768250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397769250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,25.00,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397770250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397771250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397772250,2,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397773250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397774250,1,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397775250,-2,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,22.50,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397776250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397777250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397778250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397779250,-1,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397780250,1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397781250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397782250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397783250,-1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397784250,1,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,27.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397785250,-1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,27.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397786250,1,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397787250,-1,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397788250,1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397789250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397790250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397791250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,24.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397792250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.00,24.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397793250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397794250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397795250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397796250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397797250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397798250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397799250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397800250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397801250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.50,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397802250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397803250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397804250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397805250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397806250,-1,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397807250,1,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397808250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,22.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397809250,0,gNB,1,0,0,0.00,0.00,0.00,0,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397810250,0,gNB,1,0,0,0.00,0.00,0.00,5,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,63.50,24.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397811250,0,gNB,1,0,0,0.00,0.00,0.00,0,20,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,63.50,24.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397812250,0,gNB,1,0,0,0.00,0.00,0.00,5,25,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397813250,0,gNB,1,191,27,4230.54,194.74,28.38,6179,1608,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,106,-12.96,360.01,23.50,26.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,
1763397814250,-1,gNB,1,1066,4,1847.83,1077.67,5.02,20511,647,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,24.00,25.00,4,5,0.00,0.00,0.00,0.00,0.00,0.00,4,0,0,
1763397815250,1,gNB,1,1078,4,959.18,1084.62,5.11,8458,410,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.50,25.00,8,9,0.00,0.00,0.00,0.00,0.00,0.00,6,0,0,
1763397816250,5,gNB,1,1066,4,2681.31,1071.43,5.05,5691,378,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,25.00,12,13,0.00,0.00,0.00,0.00,0.00,0.00,8,0,0,
1763397817250,-5,gNB,1,1066,4,799.56,1071.23,5.03,3886,246,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,24.00,24.00,16,17,0.00,0.00,0.00,0.00,0.00,0.00,10,0,0,
1763397818250,0,gNB,1,1066,4,438.56,1070.91,5.10,2898,298,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,6,5,-26.22,8.39,23.50,25.00,20,21,0.00,0.00,0.00,0.00,0.00,0.00,12,0,0,
1763397819250,0,gNB,1,1066,4,1879.60,1070.87,5.07,1985,236,-44.00,-44.00,-44.00,-44.00,-44.00,-44.00,5,5,-26.22,8.39,23.00,26.00,24,26,0.00,0.00,0.00,0.00,0.00,0.00,14,0,0,
